brand;Brand Name;Brand Text
Abercrombie;Abercrombie;AberCr
Acura;Acura;Acura
Adidasus;Adidas;Adidas
Aeropostale;Aeropostale;AeroP
Airheads;Airheads;AHeads
Americanapparel;American Apparel;AApparel
Anntaylor;Ann Taylor;ATaylor
Armaniexchange;Armani Exchange;Armani
Astonmartin;Aston Martin;AMartin
Audi;Audi;Audi
Aveda;Aveda;Aveda
Axe;Axe;Axe
Bananarepublic;Banana Republic;BananaR
Bathbodyworks;Bath & Body;B&B
Bentleymotors;Bentley Motors;Bentley
Bertolli;Bertolli;Bertolli
Bmwusa;BMW;BMW
Breyers;Breyers;Breyers
Buick;Buick;Buick
Burtsbees;Burt's Bees;Burt'sB
Cadburyuk;Cadbury;Cadbury
Cadillac;Cadillac;Cadillac
Calvinklein;Calvin Klein;CK
Championusa;Champion;Champ
Chanel;Chanel;Chanel
Cheerios;Cheerios;Cheerios
Chevrolet;Chevrolet;Chev
Chrysler;Chrysler;Chrys
Cleanandclear;Clean & clear;C&C
Clearasil;Clearasil;ClearA
Clifbar;Clif Bar;Clif Bar
Clinique;Clinique;Clini
Cocacola;Coca-Cola;Coke
Converse;Converse;Conv
Crackerbarrel;Cracker Barrel;CBarrel
Cream_of_wheat;Cream of Wheat;CWheat
Crystallight;Crystal Light;CLight
Dannon;Dannon;Dannon
Diesel;Diesel;Diesel
Dietcoke;Diet Coke;DCoke
Dietpepsi;Diet Pepsi;DPepsi
Digiornopizza;DiGiorno Pizza;Giorno
Dior;Dior;Dior
Dockers;Dockers;Dockers
Dodge;Dodge;Dodge
Dolcegabbana;Dolce & Gabbana;D&G
Dolepackaged;Dole;Dole
Doritos;Doritos;Doritos
Dove;Dove;Dove
Dove_chocolate;Dove Chocolate;DoveC
Eatliquidgold;Eat Liquid Gold;ELG
Elizabetharden;Elizabet Harden;EHarden
Ford;Ford;Ford
Fritolay;Fritolay;Frito
Gap;Gap;Gap
Gatorade;Gatorade;Gatorade
Godiva;Godiva;Diva
Greengiant;Green Giant;GGiant
Guess;Guess;Guess
Hanes;Hanes;Hanes
Healthy_choice;Healthy Choice;HChoice
Herbalessences;Herbal Essences;HEssence
Hmusa;HM;HM
Hollisterco;Hollister;Hollister
Honda;Honda;Honda
Honeymaidsnacks;Honey Maid;HMaid
Hostess_snacks;Hostess Snacks;HSnacks
Hugoboss;Hugo Boss;Boss
Hyundai;Hyundai;Hyundai
Infinitiusa;Infiniti;Infiniti
Izod;IZOD;Izod
Jackdaniels_us;Jack Daniels;JDaniels
Jaguar;Jaguar;Jaguar
Jcrew;Jcrew;Jcrew
Jeep;Jeep;Jeep
Kelloggsus;Kelloggs;Kello
Kia;Kia;Kia
Klondikebar;Klondike Bar;KBar
Lamborghini;Lamborghini;Lambo
Landrover;Landrover;LandR
Levis;Levis;Levis
Lexus;Lexus;Lexus
Lincolnmotorco;Lincoln Motor;Lincoln
Littledebbie;Little Debbie;LDebbie
Loft;Loft;Loft
Lorealparisuk;Loreal Paris;LParis
Louisvuitton_us;Louis Vuitton;LVuitton
Lovemyphilly;Philadelphia;Phily
Maserati_hq;Maserati;Maserati
Mazdausa;Mazda;Mazda
Mercedesbenz;Mercedes;Mbenz
Miniusa;Mini;Mini
Miraclewhip;Miracle Whip;MWhip
Mitsucars;Mitsubishi;Mitsu
Monsterenergy;Monster;Monster
Motts;Motts;Motts
Nakedjuice;Naked Juice;NJuice
Naturespath;Natures Path;NatPath
Naturevalley;Nature Valley;NatValley
Nautica;Nautica;Nautica
Nestle;Nestle;Nestle
Nikestore;Nike;Nike
Nissanusa;Nissan;Nissan
Nordstrom;Nordstrom;Nordstrom
Oceansprayinc;Ocean Spray;OSpray
Oldnavy;Old Navy;ONavy
Oldspice;Old Spice;OSpice
Oreo;Oreo;Oreo
Organicvalley;Organic Valley;OValley
Oscarmayer;Oscar Mayer;OMayer
Pantene;Pantene;Pantene
Paulmitchellus;Paul Mitchell;PM
Pepperidgefarm;Pepperidge Farm;PFarm
Pepsi;Pepsi;Pepsi
Pillsbury;Pillsbury;Pillsbury
Pontiac;Pontiac;Pontiac
Porsche;Porsche;Porsche
Powerade;Powerade;Power
Proactiv;Proactiv;Proactiv
Puma;Puma;Puma
Ralphlauren;Ralph Lauren;RLauren
Realcapncrunch;Cap'n Crunch;CCrunch
Redbull;Redbull;RB
Redken5thave;Redken;Redken
Reebok;Reebok;Reebok
Rollsroycecars;Rolls Royce;RR
Ruffles;Ruffles;Ruffles
Saraleedesserts;Sara Lee Desserts;Sdessert
Scion;Scion;Scion
Skippy;Skippy;Skippy
Skittles;Skittles;Skittl
Smartcarusa;Smart;Smart
Smuckers;Smuckers;Smuck
Snapple;Snapple;Snapple
Snickers;Snickers;Snickers
Specialkus;Special K;SpecK
Sprite;Sprite;Sprite
Starburst;Starburst;Starburst
Stouffers;Stouffers;Stouffers
Suavebeauty;Suave Beauty;SBeauty
Subaru_usa;Subaru;Subaru
Sunchips;Sunchips;Sunchips
Teslamotors;Tesla;Tesla
Thenorthface;The North Face;NorthFace
Therealtriscuit;Triscuit;Triscuit
Thisisgmc;GMC;GMC
Timberland;Timberland;Timberland
Toyota;Toyota;Toyota
Tresemme;TRESemme;TRE
Vans_66;Vans;Vans
Vaselinebrand;Vaseline;Vas
Verawanggang;Vera Wang;VWang
Versace;Versace;Versace
Vo5;VO5;VO5
Volvocarsus;Volvo;Volvo
Wheatthins;Wheat Thins;WThins
Wranglerwestern;Wrangler;Wrang
Yoplait;Yoplait;Yoplait
