exemplar	corr	n_followers
kategalbraith	0.681088	11730
algore	-0.324421	50000
darrengoode	0.631412	6868
michaelpollan	-0.302069	50000
envam	0.694934	17800
wilderness	0.695701	47341
cdcenvironment	0.324778	10601
the_ecologist	0.258095	49999
cleanairmoms	0.479978	7450
energy	-0.366342	50000
guardianeco	-0.324614	50000
npca	0.594313	50000
climateprogress	0.225079	50000
treehugger	-0.262078	50000
yalee360	0.527037	50000
nwf	-0.206509	50000
nrdc	-0.0450095	50000
forestservice	0.724033	50000
usgbc	0.33095	50000
uscan	0.576173	2751
ben_geman	0.531618	6745
sierra_magazine	0.686937	50000
energypresssec	0.536332	11420
greenwombat	0.656173	18464
timogard	0.538899	2486
toddbbatesapp	0.564915	5295
suzyji	0.62349	11886
sierraclub	0.0100041	49997
jeffbarnardap	0.544943	1669
greenpeace	-0.269462	50000
matthewdalywdc	0.577766	6840
huffpostgreen	-0.237604	49997
dinacappiello	0.486926	5167
greenpeaceusa	0.0701852	50000
gofossilfree	0.603971	5554
insideclimate	0.558315	39113
amazonwatch	0.418849	32292
eparesearch	0.357477	50000
billmckibben	0.0675435	50000
justingerdes	0.519531	3671
guardiansustbiz	0.232775	50000
apa_planning	0.475498	26988
xerces_society	0.579256	1640
climatecentral	0.66779	14487
mcea1974	0.588612	1309
jonathanfahey	0.583538	15645
kxlblockade	0.627872	16341
brandonloomis	0.470902	591
usfwshq	0.471268	50000
climatereality	-0.103374	49998
jendlouhyhc	0.445884	7672
kate_sheppard	0.563619	50000
bruneski	0.640771	15178
russellgold	0.511955	6421
urbandata	0.507422	36179
coralmdavenport	0.646837	12927
tomphilpott	0.601388	28618
nature_org	-0.111749	50000
climatedesk	0.320066	49998
houstonfowler	0.56968	11798
marcotty	0.542901	765
grist	0.058692	49999
ginaepa	0.526923	12932
secretaryjewell	0.644214	12972
peoples_climate	0.535267	13909
eschor	0.639199	4688
bethparke	0.597221	1631
drgrist	0.639165	38004
350	-0.349383	49999
revkin	0.398081	50000
epa	-0.278825	50000
nickjuliano	0.43596	2197
lcvoters	0.698042	10037
neelaeast	0.505852	2387
