exemplar	corr	n_followers
kategalbraith	0.787946	11730
algore	0.135297	50000
darrengoode	0.775452	6868
michaelpollan	0.272387	50000
envam	0.818596	17800
wilderness	0.4951	47341
cdcenvironment	0.598329	10601
the_ecologist	0.117012	49999
cleanairmoms	0.696515	7450
energy	0.0628272	50000
guardianeco	0.119957	50000
npca	0.0799092	50000
climateprogress	0.354792	50000
treehugger	0.0820813	50000
yalee360	0.585006	50000
nwf	0.00232133	50000
nrdc	-0.0547171	50000
forestservice	0.175682	50000
usgbc	0.526323	50000
uscan	0.750622	2751
ben_geman	0.686933	6745
sierra_magazine	0.656454	50000
energypresssec	0.762558	11420
greenwombat	0.8007	18464
timogard	0.74968	2486
toddbbatesapp	0.508926	5295
suzyji	0.763077	11886
sierraclub	0.054339	49997
jeffbarnardap	0.669004	1669
greenpeace	0.0137997	50000
matthewdalywdc	0.763279	6840
huffpostgreen	0.103049	49997
dinacappiello	0.757295	5167
greenpeaceusa	0.174762	50000
gofossilfree	0.689283	5554
insideclimate	0.604977	39113
amazonwatch	0.630629	32292
eparesearch	0.341843	50000
billmckibben	0.204499	50000
justingerdes	0.819539	3671
guardiansustbiz	0.255134	50000
apa_planning	0.70608	26988
xerces_society	0.642379	1640
climatecentral	0.757746	14487
mcea1974	0.789812	1309
jonathanfahey	0.697634	15645
kxlblockade	0.632804	16341
brandonloomis	0.608086	591
usfwshq	-0.00420311	50000
climatereality	0.0731649	49998
jendlouhyhc	0.736138	7672
kate_sheppard	0.726599	50000
bruneski	0.726891	15178
russellgold	0.703645	6421
urbandata	0.705976	36179
coralmdavenport	0.690459	12927
tomphilpott	0.747881	28618
nature_org	0.099372	50000
climatedesk	0.368628	49998
houstonfowler	0.66284	11798
marcotty	0.695145	765
grist	0.123046	49999
ginaepa	0.659083	12932
secretaryjewell	0.630909	12972
peoples_climate	0.70785	13909
eschor	0.76303	4688
bethparke	0.800893	1631
drgrist	0.739236	38004
350	0.084759	49999
revkin	0.654771	50000
epa	0.137972	50000
nickjuliano	0.75349	2197
lcvoters	0.794773	10037
neelaeast	0.725832	2387
