exemplar	corr	n_followers
kategalbraith	0.724634	11730
algore	0.00110469	50000
darrengoode	0.674186	6868
michaelpollan	0.513143	50000
envam	0.702624	17800
wilderness	0.693061	47341
cdcenvironment	0.674043	10601
the_ecologist	0.534095	49999
cleanairmoms	0.660851	7450
energy	-0.0766959	50000
guardianeco	0.284493	50000
npca	0.431941	50000
climateprogress	0.509886	50000
treehugger	0.419796	50000
yalee360	0.657103	50000
nwf	0.16354	50000
nrdc	0.358982	50000
forestservice	0.441409	50000
usgbc	0.596995	50000
uscan	0.69418	2751
ben_geman	0.668752	6745
sierra_magazine	0.720224	50000
energypresssec	0.548152	11420
greenwombat	0.738669	18464
timogard	0.683412	2486
toddbbatesapp	0.497648	5295
suzyji	0.725075	11886
sierraclub	0.387567	49997
jeffbarnardap	0.589368	1669
greenpeace	0.0554404	50000
matthewdalywdc	0.690547	6840
huffpostgreen	0.363621	49997
dinacappiello	0.714038	5167
greenpeaceusa	0.411726	50000
gofossilfree	0.631681	5554
insideclimate	0.674777	39113
amazonwatch	0.686574	32292
eparesearch	0.450838	50000
billmckibben	0.444046	50000
justingerdes	0.755948	3671
guardiansustbiz	0.482096	50000
apa_planning	0.6225	26988
xerces_society	0.697714	1640
climatecentral	0.72513	14487
mcea1974	0.625297	1309
jonathanfahey	0.691766	15645
kxlblockade	0.611533	16341
brandonloomis	0.53414	591
usfwshq	0.295217	50000
climatereality	0.359923	49998
jendlouhyhc	0.615303	7672
kate_sheppard	0.675661	50000
bruneski	0.703538	15178
russellgold	0.426064	6421
urbandata	0.632163	36179
coralmdavenport	0.692428	12927
tomphilpott	0.675364	28618
nature_org	0.262352	50000
climatedesk	0.566021	49998
houstonfowler	0.586409	11798
marcotty	0.625691	765
grist	0.489103	49999
ginaepa	0.595332	12932
secretaryjewell	0.654742	12972
peoples_climate	0.642114	13909
eschor	0.663958	4688
bethparke	0.707182	1631
drgrist	0.680714	38004
350	0.240177	49999
revkin	0.643782	50000
epa	0.0574786	50000
nickjuliano	0.553298	2197
lcvoters	0.718361	10037
neelaeast	0.564063	2387
