exemplar	corr	n_followers
kategalbraith	0.697208	11730
algore	0.322858	50000
darrengoode	0.625166	6868
michaelpollan	0.604845	50000
envam	0.874151	17800
wilderness	0.851339	47341
cdcenvironment	0.679823	10601
the_ecologist	0.835303	49999
cleanairmoms	0.501075	7450
energy	0.277872	50000
guardianeco	0.584519	50000
npca	0.708165	50000
climateprogress	0.77803	50000
treehugger	0.73871	50000
yalee360	0.824025	50000
nwf	0.501848	50000
nrdc	0.71295	50000
forestservice	0.68515	50000
usgbc	0.838105	50000
uscan	0.697852	2751
ben_geman	0.65782	6745
sierra_magazine	0.841293	50000
energypresssec	0.614066	11420
greenwombat	0.780658	18464
timogard	0.577799	2486
toddbbatesapp	0.346409	5295
suzyji	0.794521	11886
sierraclub	0.723711	49997
jeffbarnardap	0.35252	1669
greenpeace	0.401219	50000
matthewdalywdc	0.622575	6840
huffpostgreen	0.703936	49997
dinacappiello	0.7104	5167
greenpeaceusa	0.75127	50000
gofossilfree	0.691971	5554
insideclimate	0.834693	39113
amazonwatch	0.713604	32292
eparesearch	0.665854	50000
billmckibben	0.696788	50000
justingerdes	0.685734	3671
guardiansustbiz	0.75237	50000
apa_planning	0.679623	26988
xerces_society	0.785539	1640
climatecentral	0.789241	14487
mcea1974	0.694142	1309
jonathanfahey	0.659994	15645
kxlblockade	0.766536	16341
brandonloomis	0.564195	591
usfwshq	0.688333	50000
climatereality	0.688581	49998
jendlouhyhc	0.476204	7672
kate_sheppard	0.738723	50000
bruneski	0.817827	15178
russellgold	0.467861	6421
urbandata	0.57077	36179
coralmdavenport	0.653498	12927
tomphilpott	0.841981	28618
nature_org	0.548786	50000
climatedesk	0.818446	49998
houstonfowler	0.463296	11798
marcotty	0.672704	765
grist	0.75999	49999
ginaepa	0.636489	12932
secretaryjewell	0.783366	12972
peoples_climate	0.793079	13909
eschor	0.563681	4688
bethparke	0.689371	1631
drgrist	0.641406	38004
350	0.484036	49999
revkin	0.598478	50000
epa	0.39686	50000
nickjuliano	0.468569	2197
lcvoters	0.777487	10037
neelaeast	0.477309	2387
