date,sentiment_neg,sentiment_neu,sentiment_pos
2019-08-31 23:56:24+00:00,"0,122","0,385","0,494"
2020-11-12 11:05:43+00:00,"0,0","0,85","0,15"
2019-08-31 23:54:13+00:00,"0,0","1,0","0,0"
2019-08-31 23:54:07+00:00,,,
2019-08-31 23:53:09+00:00,"0,0","0,719","0,281"
2019-08-31 23:51:04+00:00,"0,0","0,956","0,044"
2019-08-31 23:39:12+00:00,"0,0","1,0","0,0"
2019-08-31 23:21:44+00:00,"0,0","1,0","0,0"
2019-08-31 22:57:41+00:00,"0,0","0,551","0,449"
2019-08-31 22:39:25+00:00,"0,0","0,928","0,072"
2019-08-31 22:26:13+00:00,,,
2019-08-31 22:20:03+00:00,"0,0","0,897","0,103"
2019-08-31 22:18:19+00:00,"0,122","0,878","0,0"
2019-08-31 22:16:17+00:00,"0,039","0,961","0,0"
2019-08-31 22:13:57+00:00,"0,0","0,833","0,167"
2019-08-31 22:08:57+00:00,"0,0","1,0","0,0"
2019-08-31 22:04:31+00:00,,,
2019-08-31 21:57:46+00:00,"0,0","0,743","0,257"
2019-08-31 21:53:37+00:00,"0,0","0,794","0,206"
2019-08-31 21:47:07+00:00,"0,0","0,898","0,102"
2019-08-31 21:43:35+00:00,,,
2019-08-31 21:41:35+00:00,"0,105","0,85","0,045"
2019-08-31 21:40:27+00:00,"0,0","0,612","0,388"
2019-08-31 21:34:09+00:00,"0,068","0,932","0,0"
2019-08-31 21:33:47+00:00,"0,0","0,942","0,058"
2019-08-31 21:32:24+00:00,,,
2019-08-31 21:07:52+00:00,,,
2019-08-31 21:01:27+00:00,"0,307","0,693","0,0"
2019-08-31 21:00:15+00:00,,,
2019-08-31 20:33:03+00:00,,,
2019-08-31 20:20:20+00:00,,,
2019-08-31 20:20:19+00:00,,,
2019-08-31 20:16:14+00:00,,,
2019-08-31 19:58:48+00:00,,,
2019-08-31 19:55:49+00:00,,,
2019-08-31 19:55:43+00:00,,,
2019-08-31 19:52:34+00:00,"0,317","0,683","0,0"
2019-08-31 19:51:45+00:00,"0,0","0,835","0,165"
2019-08-31 19:47:53+00:00,"0,0","0,906","0,094"
2019-08-31 19:43:15+00:00,"0,137","0,828","0,035"
2019-08-31 19:32:02+00:00,"0,0","0,848","0,152"
2019-08-31 19:05:07+00:00,"0,0","0,796","0,204"
2019-08-31 19:05:06+00:00,"0,0","0,828","0,172"
2019-08-31 19:00:55+00:00,"0,0","1,0","0,0"
2019-08-31 19:00:44+00:00,,,
2019-08-31 19:00:39+00:00,"0,0","0,562","0,438"
2019-08-31 19:00:16+00:00,"0,0","0,667","0,333"
2019-08-31 19:00:16+00:00,,,
2019-08-31 19:00:11+00:00,"0,0","0,76","0,24"
2019-08-31 19:00:11+00:00,"0,0","0,76","0,24"
2019-08-31 18:59:26+00:00,"0,053","0,82","0,126"
2019-08-31 18:49:54+00:00,"0,136","0,765","0,099"
2019-08-31 18:45:14+00:00,,,
2019-08-31 18:38:25+00:00,"0,0","0,944","0,056"
2019-08-31 18:15:36+00:00,"0,0","0,701","0,299"
2019-08-31 18:15:05+00:00,"0,0","0,923","0,077"
2019-08-31 18:14:44+00:00,,,
2019-08-31 18:10:26+00:00,,,
2019-08-31 18:05:01+00:00,,,
2019-08-31 18:05:00+00:00,,,
2019-08-31 18:00:28+00:00,"0,0","0,755","0,245"
2019-08-31 17:59:31+00:00,,,
2019-08-31 17:58:23+00:00,"0,0","0,876","0,124"
2019-08-31 17:55:45+00:00,,,
2019-08-31 17:43:02+00:00,"0,0","1,0","0,0"
2019-08-31 17:39:45+00:00,,,
2019-08-31 17:35:37+00:00,"0,0","0,584","0,416"
2019-08-31 17:23:19+00:00,"0,247","0,689","0,065"
2019-08-31 17:22:09+00:00,"0,0","1,0","0,0"
2019-08-31 17:20:15+00:00,"0,0","0,684","0,316"
2019-08-31 17:15:09+00:00,,,
2019-08-31 17:09:33+00:00,"0,04","0,725","0,235"
2019-08-31 17:01:09+00:00,"0,06","0,686","0,254"
2019-08-31 17:00:26+00:00,"0,0","1,0","0,0"
2019-08-31 16:49:37+00:00,"0,061","0,863","0,075"
2019-08-31 16:48:01+00:00,"0,0","1,0","0,0"
2019-08-31 16:45:06+00:00,,,
2019-08-31 16:28:24+00:00,"0,049","0,885","0,066"
2019-08-31 16:09:36+00:00,,,
2019-08-31 16:04:31+00:00,,,
2019-08-31 16:00:44+00:00,"0,12","0,809","0,071"
2019-08-31 16:00:25+00:00,,,
2019-08-31 15:53:49+00:00,"0,0","0,803","0,197"
2019-08-31 15:52:18+00:00,"0,0","0,611","0,389"
2019-08-31 15:48:57+00:00,,,
2019-08-31 15:42:53+00:00,"0,0","1,0","0,0"
2019-08-31 15:40:12+00:00,"0,0","0,906","0,094"
2019-08-31 15:30:14+00:00,,,
2019-08-31 15:30:08+00:00,"0,0","1,0","0,0"
2019-08-31 15:22:01+00:00,"0,0","1,0","0,0"
2019-08-31 15:06:05+00:00,,,
2019-08-31 15:00:45+00:00,"0,05","0,883","0,068"
2019-08-31 14:55:43+00:00,"0,0","0,684","0,316"
2019-08-31 14:45:12+00:00,"0,0","1,0","0,0"
2020-11-12 11:05:43+00:00,"0,0","0,85","0,15"
2019-08-31 14:45:04+00:00,,,
2019-08-31 14:43:26+00:00,,,
2019-08-31 14:39:43+00:00,"0,0","0,865","0,135"
2019-08-31 14:36:26+00:00,"0,0","0,886","0,114"
2019-08-31 14:35:46+00:00,"0,0","0,739","0,261"
2019-08-31 14:31:49+00:00,"0,0","1,0","0,0"
2019-08-31 14:22:22+00:00,"0,0","1,0","0,0"
2019-08-31 14:20:03+00:00,,,
2019-08-31 14:16:34+00:00,"0,107","0,893","0,0"
2019-08-31 14:16:34+00:00,"0,0","1,0","0,0"
2019-08-31 14:15:27+00:00,,,
2019-08-31 14:12:55+00:00,"0,0","0,827","0,173"
2019-08-31 14:07:16+00:00,"0,047","0,86","0,093"
2019-08-31 14:05:23+00:00,"0,0","1,0","0,0"
2019-08-31 14:01:33+00:00,,,
2019-08-31 14:01:08+00:00,"0,0","1,0","0,0"
2019-08-31 14:00:31+00:00,"0,0","0,778","0,222"
2019-08-31 14:00:27+00:00,,,
2019-08-31 14:00:00+00:00,"0,087","0,876","0,038"
2019-08-31 13:57:38+00:00,"0,0","0,781","0,219"
2019-08-31 13:54:09+00:00,"0,0","1,0","0,0"
2019-08-31 13:53:39+00:00,"0,0","0,761","0,239"
2019-08-31 13:51:18+00:00,"0,079","0,921","0,0"
2019-08-31 13:41:00+00:00,"0,0","0,909","0,091"
2019-08-31 13:38:25+00:00,"0,0","1,0","0,0"
2019-08-31 13:35:04+00:00,"0,0","0,782","0,218"
2019-08-31 13:24:17+00:00,,,
2019-08-31 13:23:29+00:00,,,
2019-08-31 13:21:58+00:00,"0,0","1,0","0,0"
2019-08-31 13:20:14+00:00,"0,0","0,877","0,123"
2019-08-31 13:20:03+00:00,,,
2019-08-31 13:13:15+00:00,"0,215","0,785","0,0"
2019-08-31 13:12:46+00:00,"0,075","0,658","0,267"
2019-08-31 13:10:10+00:00,,,
2019-08-31 13:07:00+00:00,"0,081","0,883","0,036"
2019-08-31 13:04:31+00:00,,,
2019-08-31 13:01:41+00:00,"0,0","0,891","0,109"
2019-08-31 13:00:40+00:00,"0,066","0,855","0,078"
2019-08-31 12:55:13+00:00,"0,0","0,606","0,394"
2019-08-31 12:51:21+00:00,"0,0","1,0","0,0"
2019-08-31 12:50:54+00:00,"0,0","1,0","0,0"
2019-08-31 12:49:58+00:00,,,
2019-08-31 12:47:32+00:00,"0,0","0,789","0,211"
2019-08-31 12:45:04+00:00,"0,0","0,737","0,263"
2019-08-31 12:40:27+00:00,"0,243","0,591","0,166"
2019-08-31 12:29:09+00:00,"0,0","0,799","0,201"
2019-08-31 12:27:57+00:00,,,
2019-08-31 12:16:25+00:00,"0,151","0,769","0,079"
2019-08-31 12:14:19+00:00,"0,118","0,882","0,0"
2019-08-31 12:07:45+00:00,,,
2019-08-31 12:07:01+00:00,"0,0","0,881","0,119"
2019-08-31 12:04:55+00:00,"0,0","0,82","0,18"
2019-08-31 12:01:04+00:00,"0,0","0,58","0,42"
2019-08-31 11:56:56+00:00,"0,075","0,745","0,18"
2019-08-31 11:55:09+00:00,"0,0","0,735","0,265"
2019-08-31 11:47:00+00:00,,,
2019-08-31 11:33:05+00:00,"0,081","0,829","0,09"
2019-08-31 11:21:41+00:00,"0,0","0,483","0,517"
2019-08-31 11:19:06+00:00,"0,0","1,0","0,0"
2019-08-31 11:12:50+00:00,,,
