brand,Date,sentiment_neg,sentiment_neu,sentiment_pos,sentiment_neg_perc,sentiment_pos_perc,polarity
Airbnb,2019-07-01,0.027,0.885,0.089,23.28,76.72,53.44
Airbnb,2019-07-02,0.025,0.874,0.102,19.69,80.31,60.620000000000005
Airbnb,2019-07-03,0.034,0.856,0.11,23.61,76.39,52.78
Airbnb,2019-07-04,0.029,0.842,0.129,18.35,81.65,63.300000000000004
Airbnb,2019-07-05,0.023,0.856,0.121,15.97,84.03,68.06
Airbnb,2019-07-06,0.025,0.85,0.125,16.67,83.33,66.66
Airbnb,2019-07-07,0.024,0.858,0.118,16.9,83.1,66.19999999999999
Airbnb,2019-07-08,0.019,0.87,0.111,14.62,85.38,70.75999999999999
Airbnb,2019-07-09,0.035,0.838,0.127,21.6,78.4,56.800000000000004
Airbnb,2019-07-10,0.023,0.85,0.126,15.44,84.56,69.12
Airbnb,2019-07-11,0.028,0.856,0.116,19.44,80.56,61.120000000000005
Airbnb,2019-07-12,0.023,0.877,0.1,18.7,81.3,62.599999999999994
Airbnb,2019-07-13,0.022,0.85,0.129,14.57,85.43,70.86000000000001
Airbnb,2019-07-14,0.023,0.838,0.14,14.11,85.89,71.78
Airbnb,2019-07-15,0.026,0.849,0.125,17.22,82.78,65.56
Airbnb,2019-07-16,0.015,0.869,0.116,11.45,88.55,77.1
Airbnb,2019-07-17,0.027,0.854,0.119,18.49,81.51,63.02000000000001
Airbnb,2019-07-18,0.02,0.865,0.114,14.93,85.07,70.13999999999999
Airbnb,2019-07-19,0.03,0.852,0.118,20.27,79.73,59.46000000000001
Airbnb,2019-07-20,0.03,0.873,0.098,23.44,76.56,53.120000000000005
Airbnb,2019-07-21,0.019,0.863,0.117,13.97,86.03,72.06
Airbnb,2019-07-22,0.025,0.859,0.116,17.73,82.27,64.53999999999999
Airbnb,2019-07-23,0.023,0.857,0.12,16.08,83.92,67.84
Airbnb,2019-07-24,0.017,0.875,0.108,13.6,86.4,72.80000000000001
Airbnb,2019-07-25,0.018,0.865,0.117,13.33,86.67,73.34
Airbnb,2019-07-26,0.025,0.85,0.125,16.67,83.33,66.66
Airbnb,2019-07-27,0.028,0.855,0.117,19.31,80.69,61.379999999999995
Airbnb,2019-07-28,0.035,0.836,0.128,21.47,78.53,57.06
Airbnb,2019-07-29,0.026,0.871,0.102,20.31,79.69,59.379999999999995
Airbnb,2019-07-30,0.031,0.858,0.111,21.83,78.17,56.34
Airbnb,2019-07-31,0.021,0.842,0.137,13.29,86.71,73.41999999999999
Airbnb,2019-08-01,0.023,0.852,0.124,15.65,84.35,68.69999999999999
Airbnb,2019-08-02,0.028,0.839,0.133,17.39,82.61,65.22
Airbnb,2019-08-03,0.025,0.84,0.135,15.62,84.38,68.75999999999999
Airbnb,2019-08-04,0.035,0.857,0.109,24.31,75.69,51.379999999999995
Airbnb,2019-08-05,0.023,0.861,0.116,16.55,83.45,66.9
Airbnb,2019-08-06,0.025,0.872,0.103,19.53,80.47,60.94
Airbnb,2019-08-07,0.028,0.865,0.106,20.9,79.1,58.199999999999996
Airbnb,2019-08-08,0.033,0.855,0.111,22.92,77.08,54.16
Airbnb,2019-08-09,0.023,0.868,0.11,17.29,82.71,65.41999999999999
Airbnb,2019-08-10,0.037,0.858,0.105,26.06,73.94,47.879999999999995
Airbnb,2019-08-11,0.027,0.843,0.13,17.2,82.8,65.6
Airbnb,2019-08-12,0.023,0.847,0.13,15.03,84.97,69.94
Airbnb,2019-08-13,0.041,0.851,0.108,27.52,72.48,44.96000000000001
Airbnb,2019-08-14,0.03,0.851,0.119,20.13,79.87,59.74000000000001
Airbnb,2019-08-15,0.019,0.863,0.118,13.87,86.13,72.25999999999999
Airbnb,2019-08-16,0.022,0.833,0.145,13.17,86.83,73.66
Airbnb,2019-08-17,0.012,0.86,0.128,8.57,91.43,82.86000000000001
Airbnb,2019-08-18,0.025,0.855,0.12,17.24,82.76,65.52000000000001
Airbnb,2019-08-19,0.018,0.86,0.122,12.86,87.14,74.28
Airbnb,2019-08-20,0.032,0.854,0.114,21.92,78.08,56.16
Airbnb,2019-08-21,0.018,0.867,0.115,13.53,86.47,72.94
Airbnb,2019-08-22,0.029,0.86,0.111,20.71,79.29,58.580000000000005
Airbnb,2019-08-23,0.018,0.858,0.123,12.77,87.23,74.46000000000001
Airbnb,2019-08-24,0.028,0.832,0.14,16.67,83.33,66.66
Airbnb,2019-08-25,0.019,0.843,0.138,12.1,87.9,75.80000000000001
Airbnb,2019-08-26,0.03,0.848,0.122,19.74,80.26,60.52000000000001
Airbnb,2019-08-27,0.029,0.853,0.118,19.73,80.27,60.53999999999999
Airbnb,2019-08-28,0.03,0.849,0.121,19.87,80.13,60.25999999999999
Airbnb,2019-08-29,0.023,0.859,0.118,16.31,83.69,67.38
Airbnb,2019-08-30,0.022,0.855,0.124,15.07,84.93,69.86000000000001
Airbnb,2019-08-31,0.035,0.844,0.121,22.44,77.56,55.120000000000005
Airbnb,2019-09-01,0.027,0.84,0.133,16.88,83.12,66.24000000000001
Airbnb,2019-09-02,0.034,0.835,0.131,20.61,79.39,58.78
Airbnb,2019-09-03,0.02,0.851,0.129,13.42,86.58,73.16
Airbnb,2019-09-04,0.028,0.866,0.105,21.05,78.95,57.900000000000006
Airbnb,2019-09-05,0.026,0.834,0.14,15.66,84.34,68.68
Airbnb,2019-09-06,0.031,0.846,0.123,20.13,79.87,59.74000000000001
Airbnb,2019-09-07,0.024,0.842,0.134,15.19,84.81,69.62
Airbnb,2019-09-08,0.031,0.848,0.121,20.39,79.61,59.22
Airbnb,2019-09-09,0.02,0.848,0.133,13.07,86.93,73.86000000000001
Airbnb,2019-09-10,0.021,0.847,0.132,13.73,86.27,72.53999999999999
