brand,Date,sentiment_neg,sentiment_neu,sentiment_pos,sentiment_neg_perc,sentiment_pos_perc,polarity
Airbnb,2019-07-31,0.02509442124105012,0.8587162887828163,0.11618571002386635,17.76,82.24,64.47999999999999
Airbnb,2019-08-31,0.02618516860638615,0.8539722470904207,0.11984198746642793,17.93,82.07,64.13999999999999
Airbnb,2019-09-30,0.02379846743295019,0.8535472796934865,0.12265455938697319,16.25,83.75,67.5
Airbnb,2019-10-31,0.02710186706497386,0.8543448842419716,0.11855429424943988,18.61,81.39,62.78
Airbnb,2019-11-30,0.04694311286407767,0.8373856189320389,0.1156665655339806,28.87,71.13,42.25999999999999
Airbnb,2019-12-31,0.023386125933831377,0.8542224119530416,0.12238890074706511,16.04,83.96,67.91999999999999
Airbnb,2020-01-31,0.020499719495091166,0.8682427769985974,0.11125638148667602,15.56,84.44,68.88
Airbnb,2020-02-29,0.02780134894375159,0.8672982947314838,0.10489984728938662,20.95,79.05,58.099999999999994
Airbnb,2020-03-31,0.04688347205707492,0.8511682520808561,0.10195258620689655,31.5,68.5,37.0
Airbnb,2020-04-30,0.0481705500381971,0.8519514896867838,0.09987223071046601,32.54,67.46,34.919999999999995
Airbnb,2020-05-31,0.03672780506233472,0.8533432187381942,0.10992293162070269,25.04,74.96,49.919999999999995
Airbnb,2020-06-30,0.03393665356050677,0.8454510703363914,0.12060856269113149,21.96,78.04,56.080000000000005
Airbnb,2020-07-31,0.03174507042253521,0.8424020120724347,0.1258543259557344,20.14,79.86,59.72
Airbnb,2020-08-31,0.04182010860045542,0.8304610264494657,0.1277235943247504,24.67,75.33,50.66
Airbnb,2020-09-30,0.025879509870660317,0.874777739959156,0.09934138869979578,20.67,79.33,58.66
Airbnb,2020-10-31,0.02335251524390244,0.8620388719512194,0.11460994664634146,16.93,83.07,66.13999999999999
Apple,2019-07-31,0.02651815054739746,0.8735573850639939,0.09992339927712106,20.97,79.03,58.06
Apple,2019-08-31,0.030724074704169976,0.8703273411213187,0.09895134399455598,23.69,76.31,52.620000000000005
Apple,2019-09-30,0.029106067669357413,0.8769242338739357,0.09396908506514219,23.65,76.35,52.699999999999996
Apple,2019-10-31,0.03213672505441462,0.8587609902719991,0.10910222544679213,22.75,77.25,54.5
Apple,2019-11-30,0.030518082150472785,0.8648670385766903,0.10461640855536648,22.58,77.42,54.84
Apple,2019-12-31,0.02888454335730764,0.86889149138282,0.10222206540914643,22.03,77.97,55.94
Apple,2020-01-31,0.03207132199929326,0.8725758569241038,0.09535207507165573,25.17,74.83,49.66
Apple,2020-02-29,0.028964345204208573,0.8777409914183905,0.09329451578214941,23.69,76.31,52.620000000000005
Apple,2020-03-31,0.02580442374854482,0.8827083341285139,0.09149010477299185,22.0,78.0,56.0
Apple,2020-04-30,0.02694340372491284,0.8819963328937623,0.09105805950466969,22.83,77.17,54.34
Apple,2020-05-31,0.02868125735477659,0.8752098741218842,0.0961079413757444,22.98,77.02,54.03999999999999
Apple,2020-06-30,0.028426412999006372,0.8782715383716173,0.09330621310421415,23.35,76.65,53.300000000000004
Apple,2020-07-31,0.029197432243764122,0.875603523468198,0.09520196611828374,23.47,76.53,53.06
Apple,2020-08-31,0.03461092131133825,0.8735439738959464,0.09184379401224325,27.37,72.63,45.25999999999999
Apple,2020-09-30,0.02834115733209389,0.8769165561646457,0.09474189006302032,23.03,76.97,53.94
