brand,Date,bullish,bearish,polarity
Nike,2020-04-09,9,4,38.46
Nike,2020-04-10,0,1,-100.0
Nike,2020-04-12,1,1,0.0
Nike,2020-04-13,4,0,100.0
Nike,2020-04-14,11,1,83.33
Nike,2020-04-15,4,10,-42.86
Nike,2020-04-16,2,6,-50.0
Nike,2020-04-17,4,1,60.0
Nike,2020-04-19,1,0,100.0
Nike,2020-04-20,0,3,-100.0
Nike,2020-04-22,2,4,-33.33
Nike,2020-04-23,3,0,100.0
Nike,2020-04-24,5,2,42.86
Nike,2020-04-25,1,0,100.0
Nike,2020-04-28,1,2,-33.33
Nike,2020-04-29,3,3,0.0
Nike,2020-04-30,4,2,33.33
Nike,2020-05-01,2,7,-55.56
Nike,2020-05-02,1,0,100.0
Nike,2020-05-03,4,2,33.33
Nike,2020-05-04,0,1,-100.0
Nike,2020-05-05,2,3,-20.0
Nike,2020-05-06,1,0,100.0
Nike,2020-05-07,2,8,-60.0
Nike,2020-05-08,7,0,100.0
Nike,2020-05-09,1,0,100.0
Nike,2020-05-10,3,0,100.0
Nike,2020-05-11,2,2,0.0
Nike,2020-05-12,3,1,50.0
Nike,2020-05-13,2,2,0.0
Nike,2020-05-14,12,11,4.35
Nike,2020-05-15,8,2,60.0
Nike,2020-05-16,2,1,33.33
Nike,2020-05-17,1,0,100.0
Nike,2020-05-18,8,1,77.78
Nike,2020-05-19,9,3,50.0
Nike,2020-05-20,9,2,63.64
Nike,2020-05-21,7,1,75.0
Nike,2020-05-22,2,0,100.0
Nike,2020-05-24,1,0,100.0
Nike,2020-05-25,1,0,100.0
Nike,2020-05-26,6,1,71.43
Nike,2020-05-27,5,6,-9.09
Nike,2020-05-28,9,10,-5.26
Nike,2020-05-29,6,8,-14.29
Nike,2020-05-30,6,1,71.43
Nike,2020-05-31,0,2,-100.0
Nike,2020-06-01,16,5,52.38
Nike,2020-06-02,5,3,25.0
Nike,2020-06-03,6,3,33.33
Nike,2020-06-04,13,8,23.81
Nike,2020-06-05,5,1,66.67
Nike,2020-06-06,1,0,100.0
Nike,2020-06-07,1,1,0.0
Nike,2020-06-08,5,0,100.0
Nike,2020-06-09,6,0,100.0
Nike,2020-06-10,4,1,60.0
Nike,2020-06-11,3,3,0.0
Nike,2020-06-12,8,0,100.0
Nike,2020-06-13,1,0,100.0
Nike,2020-06-14,0,1,-100.0
Nike,2020-06-15,6,0,100.0
Nike,2020-06-16,9,1,80.0
Nike,2020-06-17,4,0,100.0
Nike,2020-06-18,3,0,100.0
Nike,2020-06-19,6,1,71.43
Nike,2020-06-20,5,0,100.0
Nike,2020-06-21,0,2,-100.0
Nike,2020-06-22,29,5,70.59
Nike,2020-06-23,29,6,65.71
Nike,2020-06-24,34,8,61.9
Nike,2020-06-25,144,135,3.23
Nike,2020-06-26,54,164,-50.46
Nike,2020-06-27,7,13,-30.0
Nike,2020-06-28,2,4,-33.33
Nike,2020-06-29,11,11,0.0
Nike,2020-06-30,6,2,50.0
Nike,2020-07-01,7,4,27.27
Nike,2020-07-02,8,4,33.33
Nike,2020-07-03,1,1,0.0
Nike,2020-07-04,0,3,-100.0
Nike,2020-07-05,1,2,-33.33
Nike,2020-07-06,9,4,38.46
Nike,2020-07-07,5,8,-23.08
Nike,2020-07-08,4,8,-33.33
Nike,2020-07-09,4,3,14.29
Nike,2020-07-10,1,1,0.0
Nike,2020-07-11,2,2,0.0
Nike,2020-07-12,2,0,100.0
Nike,2020-07-13,1,4,-60.0
Nike,2020-07-14,3,3,0.0
Nike,2020-07-15,1,1,0.0
Nike,2020-07-16,3,4,-14.29
Nike,2020-07-17,0,1,-100.0
Nike,2020-07-18,2,0,100.0
Nike,2020-07-19,1,0,100.0
Nike,2020-07-21,11,8,15.79
Nike,2020-07-22,9,7,12.5
Nike,2020-07-23,15,12,11.11
Nike,2020-07-24,5,6,-9.09
Nike,2020-07-27,1,3,-50.0
Nike,2020-07-28,4,5,-11.11
Nike,2020-07-29,3,0,100.0
Nike,2020-07-30,1,3,-50.0
Nike,2020-07-31,1,0,100.0
Nike,2020-08-01,2,0,100.0
Nike,2020-08-02,1,1,0.0
Nike,2020-08-03,6,1,71.43
Nike,2020-08-04,2,1,33.33
Nike,2020-08-05,23,13,27.78
Nike,2020-08-06,8,4,33.33
Nike,2020-08-07,9,1,80.0
Nike,2020-08-08,2,0,100.0
Nike,2020-08-10,13,3,62.5
Nike,2020-08-11,5,4,11.11
Nike,2020-08-12,11,2,69.23
Nike,2020-08-13,15,0,100.0
Nike,2020-08-14,7,2,55.56
Nike,2020-08-15,2,0,100.0
Nike,2020-08-16,3,0,100.0
