brand,Date,bullish,bearish,polarity
Nike,2020-04-06,10,6,25.0
Nike,2020-04-13,26,18,18.18
Nike,2020-04-20,11,9,10.0
Nike,2020-04-27,15,16,-3.23
Nike,2020-05-04,16,12,14.29
Nike,2020-05-11,30,19,22.45
Nike,2020-05-18,36,7,67.44
Nike,2020-05-25,33,28,8.2
Nike,2020-06-01,47,21,38.24
Nike,2020-06-08,27,5,68.75
Nike,2020-06-15,33,4,78.38
Nike,2020-06-22,299,335,-5.68
Nike,2020-06-29,34,27,11.48
Nike,2020-07-06,27,26,1.89
Nike,2020-07-13,11,13,-8.33
Nike,2020-07-20,40,33,9.59
Nike,2020-07-27,13,12,4.0
Nike,2020-08-03,50,20,42.86
Nike,2020-08-10,56,11,67.16
Nike,2020-08-17,52,4,85.71
Nike,2020-08-24,25,18,16.28
Nike,2020-08-31,33,18,29.41
Nike,2020-09-07,48,17,47.69
Nike,2020-09-14,62,12,67.57
Nike,2020-09-21,486,441,4.85
Nike,2020-09-28,51,32,22.89
Nike,2020-10-05,56,31,28.74
Nike,2020-10-12,21,7,50.0
Nike,2020-10-19,31,16,31.91
Nike,2020-10-26,17,14,9.68
Nike,2020-11-02,17,3,70.0
Nike,2020-11-09,15,2,76.47
Nike,2020-11-16,26,5,67.74
Nike,2020-11-23,25,5,66.67
Nike,2020-11-30,22,6,57.14
Nike,2020-12-07,31,4,77.14
Nike,2020-12-14,349,61,70.24
Nike,2020-12-21,134,23,70.7
Nike,2020-12-28,26,0,100.0
Nike,2021-01-04,31,6,67.57
Nike,2021-01-11,33,10,53.49
Nike,2021-01-18,24,5,65.52
Nike,2021-01-25,82,1,97.59
Nike,2021-02-01,64,2,93.94
Nike,2021-02-08,38,10,58.33
Nike,2021-02-15,37,8,64.44
Nike,2021-02-22,30,6,66.67
Nike,2021-03-01,21,6,55.56
Nike,2021-03-08,34,8,61.9
Nike,2021-03-15,184,59,51.44
Nike,2021-03-22,95,70,15.15
Nike,2021-03-29,40,14,48.15
Nike,2021-04-05,34,5,74.36
Nike,2021-04-12,38,6,72.73
Nike,2021-04-19,50,52,-1.96
