brand,Date,bullish,bearish
Nike,2020-04-06,50,50
Nike,2020-04-13,157,157
Nike,2020-04-20,88,88
Nike,2020-04-27,99,99
Nike,2020-05-04,86,86
Nike,2020-05-11,162,162
Nike,2020-05-18,128,128
Nike,2020-05-25,196,196
Nike,2020-06-01,223,223
Nike,2020-06-08,121,121
Nike,2020-06-15,170,170
Nike,2020-06-22,1525,1525
Nike,2020-06-29,223,223
Nike,2020-07-06,130,130
Nike,2020-07-13,91,91
Nike,2020-07-20,231,231
Nike,2020-07-27,96,96
Nike,2020-08-03,192,192
Nike,2020-08-10,232,232
Nike,2020-08-17,237,237
Nike,2020-08-24,233,233
Nike,2020-08-31,178,178
Nike,2020-09-07,245,245
Nike,2020-09-14,377,377
Nike,2020-09-21,1922,1922
Nike,2020-09-28,209,209
Nike,2020-10-05,205,205
Nike,2020-10-12,123,123
Nike,2020-10-19,169,169
Nike,2020-10-26,139,139
Nike,2020-11-02,112,112
Nike,2020-11-09,162,162
Nike,2020-11-16,205,205
Nike,2020-11-23,128,128
Nike,2020-11-30,170,170
Nike,2020-12-07,220,220
Nike,2020-12-14,879,879
Nike,2020-12-21,399,399
Nike,2020-12-28,172,172
Nike,2021-01-04,156,156
Nike,2021-01-11,144,144
Nike,2021-01-18,128,128
Nike,2021-01-25,200,200
Nike,2021-02-01,226,226
Nike,2021-02-08,184,184
Nike,2021-02-15,194,194
Nike,2021-02-22,196,196
Nike,2021-03-01,181,181
Nike,2021-03-08,185,185
Nike,2021-03-15,666,666
Nike,2021-03-22,645,645
Nike,2021-03-29,237,237
Nike,2021-04-05,160,160
Nike,2021-04-12,205,205
Nike,2021-04-19,328,328
