brand,Date,bullish,bearish
Nike,2020-04-09,19,19
Nike,2020-04-10,13,13
Nike,2020-04-11,9,9
Nike,2020-04-12,9,9
Nike,2020-04-13,21,21
Nike,2020-04-14,31,31
Nike,2020-04-15,33,33
Nike,2020-04-16,29,29
Nike,2020-04-17,28,28
Nike,2020-04-18,6,6
Nike,2020-04-19,9,9
Nike,2020-04-20,18,18
Nike,2020-04-21,18,18
Nike,2020-04-22,18,18
Nike,2020-04-23,10,10
Nike,2020-04-24,16,16
Nike,2020-04-25,7,7
Nike,2020-04-26,1,1
Nike,2020-04-27,12,12
Nike,2020-04-28,12,12
Nike,2020-04-29,22,22
Nike,2020-04-30,13,13
Nike,2020-05-01,22,22
Nike,2020-05-02,5,5
Nike,2020-05-03,13,13
Nike,2020-05-04,6,6
Nike,2020-05-05,18,18
Nike,2020-05-06,12,12
Nike,2020-05-07,18,18
Nike,2020-05-08,17,17
Nike,2020-05-09,8,8
Nike,2020-05-10,7,7
Nike,2020-05-11,15,15
Nike,2020-05-12,27,27
Nike,2020-05-13,18,18
Nike,2020-05-14,50,50
Nike,2020-05-15,36,36
Nike,2020-05-16,9,9
Nike,2020-05-17,7,7
Nike,2020-05-18,26,26
Nike,2020-05-19,25,25
Nike,2020-05-20,24,24
Nike,2020-05-21,26,26
Nike,2020-05-22,16,16
Nike,2020-05-23,5,5
Nike,2020-05-24,6,6
Nike,2020-05-25,8,8
Nike,2020-05-26,26,26
Nike,2020-05-27,47,47
Nike,2020-05-28,42,42
Nike,2020-05-29,28,28
Nike,2020-05-30,19,19
Nike,2020-05-31,26,26
Nike,2020-06-01,68,68
Nike,2020-06-02,36,36
Nike,2020-06-03,36,36
Nike,2020-06-04,45,45
Nike,2020-06-05,20,20
Nike,2020-06-06,8,8
Nike,2020-06-07,10,10
Nike,2020-06-08,15,15
Nike,2020-06-09,19,19
Nike,2020-06-10,21,21
Nike,2020-06-11,25,25
Nike,2020-06-12,28,28
Nike,2020-06-13,9,9
Nike,2020-06-14,4,4
Nike,2020-06-15,27,27
Nike,2020-06-16,23,23
Nike,2020-06-17,21,21
Nike,2020-06-18,17,17
Nike,2020-06-19,41,41
Nike,2020-06-20,27,27
Nike,2020-06-21,14,14
Nike,2020-06-22,90,90
Nike,2020-06-23,87,87
Nike,2020-06-24,91,91
Nike,2020-06-25,632,632
Nike,2020-06-26,548,548
Nike,2020-06-27,48,48
Nike,2020-06-28,29,29
Nike,2020-06-29,65,65
Nike,2020-06-30,40,40
Nike,2020-07-01,44,44
Nike,2020-07-02,35,35
Nike,2020-07-03,13,13
Nike,2020-07-04,12,12
Nike,2020-07-05,14,14
Nike,2020-07-06,22,22
Nike,2020-07-07,21,21
Nike,2020-07-08,26,26
Nike,2020-07-09,27,27
Nike,2020-07-10,14,14
Nike,2020-07-11,12,12
Nike,2020-07-12,8,8
Nike,2020-07-13,14,14
Nike,2020-07-14,16,16
Nike,2020-07-15,14,14
Nike,2020-07-16,21,21
Nike,2020-07-17,13,13
Nike,2020-07-18,5,5
Nike,2020-07-19,8,8
Nike,2020-07-20,10,10
Nike,2020-07-21,52,52
Nike,2020-07-22,60,60
Nike,2020-07-23,60,60
Nike,2020-07-24,38,38
Nike,2020-07-25,6,6
Nike,2020-07-26,5,5
Nike,2020-07-27,20,20
Nike,2020-07-28,22,22
Nike,2020-07-29,12,12
Nike,2020-07-30,14,14
Nike,2020-07-31,13,13
Nike,2020-08-01,8,8
Nike,2020-08-02,7,7
Nike,2020-08-03,20,20
Nike,2020-08-04,25,25
Nike,2020-08-05,72,72
Nike,2020-08-06,30,30
Nike,2020-08-07,28,28
Nike,2020-08-08,10,10
Nike,2020-08-09,7,7
Nike,2020-08-10,65,65
Nike,2020-08-11,27,27
Nike,2020-08-12,36,36
Nike,2020-08-13,39,39
Nike,2020-08-14,33,33
Nike,2020-08-15,19,19
Nike,2020-08-16,13,13
Nike,2020-08-17,19,19
Nike,2020-08-18,38,38
Nike,2020-08-19,63,63
Nike,2020-08-20,45,45
Nike,2020-08-21,32,32
Nike,2020-08-22,17,17
Nike,2020-08-23,23,23
Nike,2020-08-24,49,49
Nike,2020-08-25,34,34
Nike,2020-08-26,40,40
Nike,2020-08-27,55,55
Nike,2020-08-28,34,34
Nike,2020-08-29,6,6
Nike,2020-08-30,15,15
Nike,2020-08-31,23,23
Nike,2020-09-01,38,38
Nike,2020-09-02,45,45
Nike,2020-09-03,39,39
Nike,2020-09-04,23,23
Nike,2020-09-05,5,5
Nike,2020-09-06,5,5
Nike,2020-09-07,19,19
Nike,2020-09-08,30,30
Nike,2020-09-09,37,37
Nike,2020-09-10,41,41
