date,sentiment_neg,sentiment_neu,sentiment_pos
2019-07-31 23:54:53+00:00,"0,0","0,629","0,371"
2020-11-12 11:05:43+00:00,"0,0","0,85","0,15"
2019-07-31 23:54:13+00:00,,,
2019-07-31 23:41:49+00:00,,,
2019-07-31 23:15:04+00:00,"0,059","0,838","0,103"
2019-07-31 23:11:12+00:00,"0,0","0,663","0,337"
2019-07-31 23:02:46+00:00,,,
2019-07-31 22:56:13+00:00,,,
2019-07-31 22:45:32+00:00,,,
2019-07-31 22:32:36+00:00,"0,0","0,9","0,1"
2019-07-31 22:30:59+00:00,,,
2019-07-31 22:27:28+00:00,,,
2019-07-31 22:26:29+00:00,"0,0","0,828","0,172"
2019-07-31 22:26:13+00:00,,,
2019-07-31 22:22:08+00:00,,,
2019-07-31 22:21:13+00:00,"0,0","0,895","0,105"
2019-07-31 22:17:43+00:00,,,
2019-07-31 22:11:17+00:00,"0,0","0,735","0,265"
2019-07-31 22:11:16+00:00,"0,117","0,785","0,098"
2019-07-31 22:07:58+00:00,"0,0","1,0","0,0"
2019-07-31 22:07:03+00:00,"0,0","0,496","0,504"
2019-07-31 22:07:00+00:00,"0,0","1,0","0,0"
2019-07-31 22:04:30+00:00,,,
2019-07-31 22:01:01+00:00,"0,0","0,923","0,077"
2019-07-31 22:00:03+00:00,,,
2019-07-31 21:59:10+00:00,,,
2019-07-31 21:58:17+00:00,"0,0","0,895","0,105"
2019-07-31 21:56:18+00:00,,,
2019-07-31 21:55:04+00:00,,,
2019-07-31 21:54:42+00:00,,,
2019-07-31 21:47:28+00:00,,,
2019-07-31 21:46:04+00:00,"0,0","0,811","0,189"
2019-07-31 21:42:51+00:00,,,
2019-07-31 21:38:16+00:00,"0,0","1,0","0,0"
2019-07-31 21:35:01+00:00,"0,0","0,895","0,105"
2019-07-31 21:33:50+00:00,,,
2019-07-31 21:28:51+00:00,,,
2019-07-31 21:26:38+00:00,,,
2019-07-31 21:22:49+00:00,,,
2019-07-31 21:22:35+00:00,,,
2019-07-31 21:21:21+00:00,,,
2019-07-31 21:20:19+00:00,"0,0","0,807","0,193"
2019-07-31 21:15:05+00:00,"0,0","0,904","0,096"
2019-07-31 21:12:23+00:00,"0,0","0,769","0,231"
2019-07-31 21:10:00+00:00,,,
2019-07-31 21:04:21+00:00,"0,035","0,648","0,317"
2019-07-31 21:00:28+00:00,"0,0","0,903","0,097"
