brand,Date,tweet_count
Airbnb,2018-08-13,9
Airbnb,2018-08-16,8
Airbnb,2018-11-15,2
Airbnb,2019-04-25,4
Airbnb,2019-05-01,1
Airbnb,2019-05-02,6
Airbnb,2019-07-01,388
Airbnb,2019-07-02,397
Airbnb,2019-07-03,348
Airbnb,2019-07-04,338
Airbnb,2019-07-05,269
Airbnb,2019-07-06,256
Airbnb,2019-07-07,231
Airbnb,2019-07-08,297
Airbnb,2019-07-09,341
Airbnb,2019-07-10,380
Airbnb,2019-07-11,385
Airbnb,2019-07-12,420
Airbnb,2019-07-13,290
Airbnb,2019-07-14,290
Airbnb,2019-07-15,328
Airbnb,2019-07-16,375
Airbnb,2019-07-17,391
Airbnb,2019-07-18,365
Airbnb,2019-07-19,360
Airbnb,2019-07-20,277
Airbnb,2019-07-21,233
Airbnb,2019-07-22,350
Airbnb,2019-07-23,368
Airbnb,2019-07-24,387
Airbnb,2019-07-25,371
Airbnb,2019-07-26,395
Airbnb,2019-07-27,297
Airbnb,2019-07-28,297
Airbnb,2019-07-29,426
Airbnb,2019-07-30,470
Airbnb,2019-07-31,368
Airbnb,2019-08-07,1
Airbnb,2020-02-06,5
Airbnb,2020-11-12,76
Airbnb,2020-11-17,2
