brand,Date,bullish,bearish,polarity
Airbnb,2020-12-22,39,14,0.47
Airbnb,2020-12-23,59,19,0.51
Airbnb,2020-12-24,23,13,0.28
Airbnb,2020-12-25,8,6,0.14
Airbnb,2020-12-26,8,4,0.33
Airbnb,2020-12-27,9,0,1.0
Airbnb,2020-12-28,46,20,0.39
Airbnb,2020-12-29,37,20,0.3
Airbnb,2020-12-30,35,21,0.25
Airbnb,2020-12-31,21,20,0.02
Airbnb,2021-01-01,3,3,0.0
Airbnb,2021-01-02,4,1,0.6
Airbnb,2021-01-03,3,1,0.5
Airbnb,2021-01-04,42,26,0.24
Airbnb,2021-01-05,50,35,0.18
Airbnb,2021-01-06,39,32,0.1
Airbnb,2021-01-07,36,10,0.57
Airbnb,2021-01-08,21,14,0.2
Airbnb,2021-01-09,7,3,0.4
Airbnb,2021-01-10,4,6,-0.2
Airbnb,2021-01-11,17,17,0.0
Airbnb,2021-01-12,55,35,0.22
Airbnb,2021-01-13,82,36,0.39
Airbnb,2021-01-14,86,38,0.39
Airbnb,2021-01-15,61,31,0.33
Airbnb,2021-01-16,6,4,0.2
Airbnb,2021-01-17,8,2,0.6
Airbnb,2021-01-18,7,1,0.75
Airbnb,2021-01-19,22,8,0.47
Airbnb,2021-01-20,32,25,0.12
Airbnb,2021-01-21,102,32,0.52
Airbnb,2021-01-22,53,14,0.58
Airbnb,2021-01-23,17,1,0.89
Airbnb,2021-01-24,8,1,0.78
Airbnb,2021-01-25,33,2,0.89
Airbnb,2021-01-26,43,4,0.83
Airbnb,2021-01-27,69,12,0.7
Airbnb,2021-01-28,43,15,0.48
Airbnb,2021-01-29,34,13,0.45
Airbnb,2021-01-30,7,0,1.0
Airbnb,2021-01-31,6,0,1.0
Airbnb,2021-02-01,53,3,0.89
Airbnb,2021-02-02,49,3,0.88
Airbnb,2021-02-03,41,2,0.91
Airbnb,2021-02-04,39,2,0.9
Airbnb,2021-02-05,29,5,0.71
Airbnb,2021-02-06,8,1,0.78
Airbnb,2021-02-07,3,0,1.0
Airbnb,2021-02-08,42,6,0.75
Airbnb,2021-02-09,39,5,0.77
Airbnb,2021-02-10,41,4,0.82
Airbnb,2021-02-11,46,6,0.77
Airbnb,2021-02-12,41,8,0.67
Airbnb,2021-02-13,4,2,0.33
Airbnb,2021-02-14,2,0,1.0
Airbnb,2021-02-15,4,0,1.0
Airbnb,2021-02-16,18,1,0.89
Airbnb,2021-02-17,13,6,0.37
Airbnb,2021-02-18,18,7,0.44
Airbnb,2021-02-19,15,0,1.0
Airbnb,2021-02-20,10,2,0.67
Airbnb,2021-02-21,10,3,0.54
Airbnb,2021-02-22,32,6,0.68
Airbnb,2021-02-23,28,7,0.6
Airbnb,2021-02-24,60,24,0.43
Airbnb,2021-02-25,110,35,0.52
Airbnb,2021-02-26,155,34,0.64
Airbnb,2021-02-27,22,6,0.57
Airbnb,2021-02-28,24,0,1.0
Airbnb,2021-03-01,95,17,0.7
Airbnb,2021-03-02,54,10,0.69
Airbnb,2021-03-03,58,9,0.73
Airbnb,2021-03-04,46,15,0.51
Airbnb,2021-03-05,47,7,0.74
Airbnb,2021-03-06,16,10,0.23
Airbnb,2021-03-07,8,1,0.78
Airbnb,2021-03-08,21,5,0.62
Airbnb,2021-03-09,40,2,0.9
Airbnb,2021-03-10,39,7,0.7
Airbnb,2021-03-11,64,9,0.75
Airbnb,2021-03-12,81,7,0.84
Airbnb,2021-03-13,23,3,0.77
Airbnb,2021-03-14,14,0,1.0
Airbnb,2021-03-15,51,3,0.89
Airbnb,2021-03-16,43,6,0.76
Airbnb,2021-03-17,27,2,0.86
Airbnb,2021-03-18,32,2,0.88
Airbnb,2021-03-19,35,5,0.75
Airbnb,2021-03-20,16,0,1.0
Airbnb,2021-03-21,17,1,0.89
Airbnb,2021-03-22,40,1,0.95
Airbnb,2021-03-23,22,1,0.91
Airbnb,2021-03-24,36,4,0.8
Airbnb,2021-03-25,42,5,0.79
Airbnb,2021-03-26,31,2,0.88
Airbnb,2021-03-27,5,1,0.67
Airbnb,2021-03-28,7,0,1.0
Airbnb,2021-03-29,32,0,1.0
Airbnb,2021-03-30,18,0,1.0
Airbnb,2021-03-31,26,2,0.86
Airbnb,2021-04-01,27,3,0.8
Airbnb,2021-04-02,7,0,1.0
Airbnb,2021-04-03,3,0,1.0
Airbnb,2021-04-04,4,0,1.0
Airbnb,2021-04-05,18,1,0.89
Airbnb,2021-04-06,24,0,1.0
Airbnb,2021-04-07,47,3,0.88
Airbnb,2021-04-08,24,3,0.78
Airbnb,2021-04-09,18,6,0.5
