brand,Date,bullish,bearish,polarity
Airbnb,2020-12,285,137,35.07
Airbnb,2021-01,1000,422,40.65
Airbnb,2021-02,956,178,68.61
Airbnb,2021-03,1086,137,77.6
Airbnb,2021-04,243,20,84.79
Apple,2021-02,1975,517,58.51
Apple,2021-03,2207,315,75.02
Coca-Cola,2020-05,34,4,78.95
Coca-Cola,2020-06,318,47,74.25
Coca-Cola,2020-07,483,41,84.35
Coca-Cola,2020-08,266,24,83.45
Coca-Cola,2020-09,246,20,84.96
Coca-Cola,2020-10,335,22,87.68
Coca-Cola,2020-11,113,30,58.04
Coca-Cola,2020-12,81,21,58.82
Coca-Cola,2021-01,887,73,84.79
Coca-Cola,2021-02,901,222,60.46
Coca-Cola,2021-03,16,19,-8.57
HM,2019-08,2,0,100.0
HM,2019-10,1,0,100.0
HM,2020-01,1,0,100.0
HM,2020-04,1,0,100.0
HM,2021-01,5,0,100.0
HM,2021-03,3,2,20.0
Nike,2020-04,55,40,15.79
Nike,2020-05,122,75,23.86
Nike,2020-06,423,378,5.62
Nike,2020-07,105,97,3.96
Nike,2020-08,190,55,55.1
Nike,2020-09,667,509,13.44
Nike,2020-10,134,78,26.42
Nike,2020-11,87,17,67.31
Nike,2020-12,559,92,71.74
Nike,2021-01,170,22,77.08
Nike,2021-02,169,26,73.33
Nike,2021-03,366,155,40.5
Nike,2021-04,130,65,33.33
Pepsi,2019-07,119,27,63.01
Pepsi,2019-08,32,4,77.78
Pepsi,2019-09,38,4,80.95
Pepsi,2019-10,104,34,50.72
Pepsi,2019-11,40,7,70.21
Pepsi,2019-12,35,5,75.0
Pepsi,2020-01,36,17,35.85
Pepsi,2020-02,52,11,65.08
Pepsi,2020-03,58,7,78.46
Pepsi,2020-04,100,14,75.44
Pepsi,2020-05,98,6,88.46
Pepsi,2020-06,106,23,64.34
Pepsi,2020-07,179,14,85.49
Pepsi,2020-08,78,8,81.4
Pepsi,2020-09,165,9,89.66
Pepsi,2020-10,111,8,86.55
Pepsi,2020-11,75,3,92.31
Pepsi,2020-12,58,2,93.33
Pepsi,2021-01,94,8,84.31
Pepsi,2021-02,191,17,83.65
Pepsi,2021-03,6,0,100.0
Starbucks,2020-05,24,13,29.73
Starbucks,2020-06,478,380,11.42
Starbucks,2020-07,361,186,31.99
Starbucks,2020-08,334,56,71.28
Starbucks,2020-09,334,83,60.19
Starbucks,2020-10,296,41,75.67
Starbucks,2020-11,234,63,57.58
Starbucks,2020-12,499,42,84.47
Starbucks,2021-01,421,55,76.89
Starbucks,2021-02,335,46,75.85
Starbucks,2021-03,38,2,90.0
