brand,Date,bullish,bearish,polarity
Airbnb,2020-12-21,146,56,44.55
Airbnb,2020-12-28,149,86,26.81
Airbnb,2021-01-04,199,126,22.46
Airbnb,2021-01-11,315,163,31.8
Airbnb,2021-01-18,241,82,49.23
Airbnb,2021-01-25,235,46,67.26
Airbnb,2021-02-01,222,16,86.55
Airbnb,2021-02-08,215,31,74.8
Airbnb,2021-02-15,88,19,64.49
Airbnb,2021-02-22,431,112,58.75
Airbnb,2021-03-01,324,69,64.89
Airbnb,2021-03-08,282,33,79.05
Airbnb,2021-03-15,221,19,84.17
Airbnb,2021-03-22,183,14,85.79
Airbnb,2021-03-29,117,5,91.8
Airbnb,2021-04-05,137,13,82.67
Airbnb,2021-04-12,65,4,88.41
Apple,2021-02-22,1975,517,58.51
Apple,2021-03-01,2207,315,75.02
Coca-Cola,2020-05-25,34,4,78.95
Coca-Cola,2020-06-01,61,7,79.41
Coca-Cola,2020-06-08,87,13,74.0
Coca-Cola,2020-06-15,62,9,74.65
Coca-Cola,2020-06-22,83,15,69.39
Coca-Cola,2020-06-29,62,5,85.07
Coca-Cola,2020-07-06,92,6,87.76
Coca-Cola,2020-07-13,113,6,89.92
Coca-Cola,2020-07-20,153,18,78.95
Coca-Cola,2020-07-27,93,9,82.35
Coca-Cola,2020-08-03,75,6,85.19
Coca-Cola,2020-08-10,38,5,76.74
Coca-Cola,2020-08-17,59,4,87.3
Coca-Cola,2020-08-24,78,5,87.95
Coca-Cola,2020-08-31,114,8,86.89
Coca-Cola,2020-09-07,54,3,89.47
Coca-Cola,2020-09-14,24,4,71.43
Coca-Cola,2020-09-21,47,5,80.77
Coca-Cola,2020-09-28,36,4,80.0
Coca-Cola,2020-10-05,23,3,76.92
Coca-Cola,2020-10-12,50,4,85.19
Coca-Cola,2020-10-19,209,8,92.63
Coca-Cola,2020-10-26,39,9,62.5
Coca-Cola,2020-11-02,22,3,76.0
Coca-Cola,2020-11-09,46,10,64.29
Coca-Cola,2020-11-16,19,5,58.33
Coca-Cola,2020-11-23,17,6,47.83
Coca-Cola,2020-11-30,15,8,30.43
Coca-Cola,2020-12-07,26,5,67.74
Coca-Cola,2020-12-14,25,4,72.41
Coca-Cola,2020-12-21,14,6,40.0
Coca-Cola,2020-12-28,10,2,66.67
Coca-Cola,2021-01-04,209,19,83.33
Coca-Cola,2021-01-11,153,25,71.91
Coca-Cola,2021-01-18,363,16,91.56
Coca-Cola,2021-01-25,158,13,84.8
Coca-Cola,2021-02-01,467,15,93.78
Coca-Cola,2021-02-08,248,21,84.39
Coca-Cola,2021-02-15,74,25,49.49
Coca-Cola,2021-02-22,112,161,-17.95
Coca-Cola,2021-03-01,16,19,-8.57
HM,2019-08-26,2,0,100.0
HM,2019-10-14,1,0,100.0
HM,2020-01-06,1,0,100.0
HM,2020-04-20,1,0,100.0
HM,2021-01-25,5,0,100.0
HM,2021-03-15,2,1,33.33
HM,2021-03-22,1,1,0.0
Nike,2020-04-06,10,6,25.0
Nike,2020-04-13,26,18,18.18
