brand,Date,stocktwits_count
Airbnb,2020-12-21,351
Airbnb,2020-12-28,383
Airbnb,2021-01-04,600
Airbnb,2021-01-11,837
Airbnb,2021-01-18,569
Airbnb,2021-01-25,443
Airbnb,2021-02-01,362
Airbnb,2021-02-08,435
Airbnb,2021-02-15,244
Airbnb,2021-02-22,1077
Airbnb,2021-03-01,771
Airbnb,2021-03-08,581
Airbnb,2021-03-15,405
Airbnb,2021-03-22,363
Airbnb,2021-03-29,256
Airbnb,2021-04-05,341
Airbnb,2021-04-12,107
Apple,2021-02-22,4574
Apple,2021-03-01,4079
Coca-Cola,2020-05-25,107
Coca-Cola,2020-06-01,137
Coca-Cola,2020-06-08,207
Coca-Cola,2020-06-15,184
Coca-Cola,2020-06-22,258
Coca-Cola,2020-06-29,188
Coca-Cola,2020-07-06,210
Coca-Cola,2020-07-13,236
Coca-Cola,2020-07-20,482
Coca-Cola,2020-07-27,272
Coca-Cola,2020-08-03,187
Coca-Cola,2020-08-10,124
Coca-Cola,2020-08-17,178
Coca-Cola,2020-08-24,276
Coca-Cola,2020-08-31,285
Coca-Cola,2020-09-07,135
Coca-Cola,2020-09-14,164
Coca-Cola,2020-09-21,173
Coca-Cola,2020-09-28,167
Coca-Cola,2020-10-05,132
Coca-Cola,2020-10-12,185
Coca-Cola,2020-10-19,486
Coca-Cola,2020-10-26,149
Coca-Cola,2020-11-02,87
Coca-Cola,2020-11-09,150
Coca-Cola,2020-11-16,78
Coca-Cola,2020-11-23,83
Coca-Cola,2020-11-30,102
Coca-Cola,2020-12-07,95
Coca-Cola,2020-12-14,100
Coca-Cola,2020-12-21,48
Coca-Cola,2020-12-28,86
Coca-Cola,2021-01-04,505
Coca-Cola,2021-01-11,434
Coca-Cola,2021-01-18,656
Coca-Cola,2021-01-25,364
Coca-Cola,2021-02-01,718
Coca-Cola,2021-02-08,584
Coca-Cola,2021-02-15,281
Coca-Cola,2021-02-22,622
Coca-Cola,2021-03-01,96
HM,2019-07-08,2
HM,2019-07-22,1
HM,2019-08-12,1
HM,2019-08-19,1
HM,2019-08-26,3
HM,2019-09-02,1
HM,2019-09-09,1
HM,2019-09-23,1
HM,2019-09-30,8
HM,2019-10-07,2
HM,2019-10-14,2
HM,2019-10-21,1
HM,2019-11-04,1
HM,2019-11-11,1
HM,2019-11-25,3
HM,2019-12-02,2
HM,2019-12-16,2
HM,2019-12-23,1
HM,2019-12-30,1
HM,2020-01-06,2
HM,2020-01-27,1
HM,2020-02-03,1
HM,2020-02-10,1
HM,2020-02-24,1
HM,2020-03-02,2
HM,2020-03-16,2
HM,2020-03-23,5
HM,2020-03-30,12
HM,2020-04-06,2
HM,2020-04-13,3
HM,2020-04-20,1
HM,2020-04-27,3
HM,2020-05-04,2
HM,2020-05-11,4
HM,2020-05-25,2
HM,2020-06-01,1
HM,2020-06-15,5
HM,2020-06-22,7
HM,2020-06-29,3
HM,2020-07-06,1
HM,2020-08-03,1
HM,2020-08-31,1
HM,2020-09-07,3
HM,2020-09-14,8
HM,2020-09-28,10
HM,2020-10-05,2
HM,2020-10-12,2
HM,2020-10-26,1
HM,2020-11-02,1
HM,2020-12-07,1
HM,2020-12-28,1
HM,2021-01-11,1
HM,2021-01-25,8
HM,2021-02-01,2
HM,2021-02-15,1
HM,2021-02-22,2
HM,2021-03-08,1
HM,2021-03-15,10
HM,2021-03-22,22
HM,2021-03-29,14
HM,2021-04-05,2
Nike,2020-04-06,50
