brand,Date,tweets_count
Airbnb,2019-07-01,2227
Airbnb,2019-07-08,2403
Airbnb,2019-07-15,2329
Airbnb,2019-07-22,2465
Airbnb,2019-07-29,2571
Airbnb,2019-08-05,2350
Airbnb,2019-08-12,2215
Airbnb,2019-08-19,2359
Airbnb,2019-08-26,2269
Airbnb,2019-09-02,2200
Airbnb,2019-09-09,2098
Airbnb,2019-09-16,2602
Airbnb,2019-09-23,2334
Airbnb,2019-09-30,2412
Airbnb,2019-10-07,2155
Airbnb,2019-10-14,2298
Airbnb,2019-10-21,2169
Airbnb,2019-10-28,2300
Airbnb,2019-11-04,2415
Airbnb,2019-11-11,2041
Airbnb,2019-11-18,2352
Airbnb,2019-11-25,1843
Airbnb,2019-12-02,1669
Airbnb,2019-12-09,1527
Airbnb,2019-12-16,1710
Airbnb,2019-12-23,1511
Airbnb,2019-12-30,1646
Airbnb,2020-01-06,2312
Airbnb,2020-01-13,2632
Airbnb,2020-01-20,2401
Airbnb,2020-01-27,2756
Airbnb,2020-02-03,2518
Airbnb,2020-02-10,2801
Airbnb,2020-02-17,3221
Airbnb,2020-02-24,2073
Airbnb,2020-03-02,2303
Airbnb,2020-03-09,2649
Airbnb,2020-03-16,2158
Airbnb,2020-03-23,2039
Airbnb,2020-03-30,2237
Airbnb,2020-04-06,2030
Airbnb,2020-04-13,1572
Airbnb,2020-04-20,1564
Airbnb,2020-04-27,1720
Airbnb,2020-05-04,2529
Airbnb,2020-05-11,1752
Airbnb,2020-05-18,1721
Airbnb,2020-05-25,1639
Airbnb,2020-06-01,1324
Airbnb,2020-06-08,1579
Airbnb,2020-06-15,1597
Airbnb,2020-06-22,1994
Airbnb,2020-06-29,1632
Airbnb,2020-07-06,1607
Airbnb,2020-07-13,1768
Airbnb,2020-07-20,2039
Airbnb,2020-07-27,1593
Airbnb,2020-08-03,1474
Airbnb,2020-08-10,2166
Airbnb,2020-08-17,2324
Airbnb,2020-08-24,1637
Airbnb,2020-08-31,1853
Airbnb,2020-09-07,1610
Airbnb,2020-09-14,1902
Airbnb,2020-09-21,2205
Airbnb,2020-09-28,2137
Airbnb,2020-10-05,1605
Airbnb,2020-10-12,1668
Airbnb,2020-10-19,1711
Airbnb,2020-10-26,1172
Apple,2019-07-01,17582
Apple,2019-07-08,18175
Apple,2019-07-15,17604
Apple,2019-07-22,19368
Apple,2019-07-29,12167
Apple,2019-08-05,18814
Apple,2019-08-12,17178
Apple,2019-08-19,18959
Apple,2019-08-26,20341
Apple,2019-09-02,18303
Apple,2019-09-09,47502
Apple,2019-09-16,26949
Apple,2019-09-23,23284
Apple,2019-09-30,21619
Apple,2019-10-07,26071
Apple,2019-10-14,20394
Apple,2019-10-21,17847
Apple,2019-10-28,20285
Apple,2019-11-04,15743
Apple,2019-11-11,16877
Apple,2019-11-18,15304
Apple,2019-11-25,14009
Apple,2019-12-02,13206
Apple,2019-12-09,13864
Apple,2019-12-16,12521
Apple,2019-12-23,10490
Apple,2019-12-30,11358
Apple,2020-01-06,15026
Apple,2020-01-13,18267
Apple,2020-01-20,16900
Apple,2020-01-27,17848
Apple,2020-02-03,16067
Apple,2020-02-10,15473
Apple,2020-02-17,16950
Apple,2020-02-24,17514
Apple,2020-03-02,18023
Apple,2020-03-09,18072
Apple,2020-03-16,17941
Apple,2020-03-23,16907
Apple,2020-03-30,16484
Apple,2020-04-06,17608
Apple,2020-04-13,22937
Apple,2020-04-20,20442
Apple,2020-04-27,18756
Apple,2020-05-04,19758
Apple,2020-05-11,19095
Apple,2020-05-18,19480
Apple,2020-05-25,17502
Apple,2020-06-01,18552
Apple,2020-06-08,18696
Apple,2020-06-15,21193
Apple,2020-06-22,35664
Apple,2020-06-29,20804
Apple,2020-07-06,21274
Apple,2020-07-13,28321
Apple,2020-07-20,22978
Apple,2020-07-27,23264
Apple,2020-08-03,21155
Apple,2020-08-10,27810
Apple,2020-08-17,25469
Apple,2020-08-24,23699
Apple,2020-08-31,21837
Apple,2020-09-07,21887
Apple,2020-09-14,38604
Apple,2020-09-21,28729
Apple,2020-09-28,23052
Apple,2020-10-05,25157
Apple,2020-10-12,55827
Apple,2020-10-19,28348
Apple,2020-10-26,20281
