Brand,Date,Buzz,Impression,Quality,Value,Reputation,Satisfaction,Recommend,Awareness,Attention,Ad Awareness,WOM Exposure,Consideration,Purchase Intent,Current Customer ,Former Customer,BrandIndex
Airbnb,2019-07,4.2,7.5,7.3,10.2,8.4,8.3,8.5,57.8,14.8,8.6,11.6,16.3,7.2,7.0,6.0,8.4
Airbnb,2019-08,3.8,11.0,8.3,12.6,7.9,9.9,10.3,61.1,13.8,8.6,12.5,18.5,8.6,8.7,6.0,10.0
Airbnb,2019-09,4.6,10.3,7.2,12.2,8.4,11.0,10.0,61.6,15.5,10.6,12.6,17.9,8.6,9.0,7.2,9.8
Airbnb,2019-10,3.9,7.4,5.6,10.2,6.0,9.9,8.8,59.8,13.8,9.3,11.0,16.6,7.5,8.6,6.6,8.0
Airbnb,2019-11,2.1,9.3,7.4,11.6,7.2,11.3,9.7,63.6,17.8,11.1,13.0,18.5,8.3,9.5,6.7,9.4
Airbnb,2019-12,3.5,10.1,6.5,11.3,9.1,11.6,11.9,63.3,16.0,8.1,11.4,18.8,9.0,8.6,8.2,10.1
Airbnb,2020-01,2.4,9.4,5.3,9.0,6.6,10.9,9.3,62.5,14.1,9.1,11.4,18.8,8.2,8.9,7.0,8.4
Airbnb,2020-02,3.3,9.8,7.1,11.2,8.4,11.7,10.2,64.2,14.8,10.1,11.8,18.7,8.5,8.4,8.5,9.7
Airbnb,2020-03,2.1,7.8,7.2,10.2,6.6,10.4,8.8,62.2,13.5,7.6,11.3,17.3,7.7,8.4,8.0,8.5
Airbnb,2020-04,-0.0,7.0,7.4,10.5,7.9,11.1,8.2,64.4,12.5,7.1,8.6,18.1,9.0,8.3,7.7,8.7
Airbnb,2020-05,1.2,9.3,9.2,11.2,8.7,11.7,11.4,65.2,14.1,6.6,10.6,18.4,8.4,9.0,9.8,10.2
Airbnb,2020-06,2.2,12.2,10.9,12.1,10.3,11.8,13.3,62.6,11.5,6.2,10.9,19.0,9.9,7.4,9.2,11.8
Airbnb,2020-07,1.8,8.8,7.9,12.6,7.6,10.4,9.5,64.7,13.3,7.3,11.2,17.4,8.3,7.1,9.1,9.5
Airbnb,2020-08,3.2,11.0,8.1,10.1,9.8,9.9,9.3,64.9,13.0,6.5,10.1,17.3,7.5,7.1,8.7,9.7
Airbnb,2020-09,3.2,10.5,8.1,10.6,8.0,10.1,10.5,65.0,13.2,8.1,10.5,17.4,7.0,5.7,10.4,9.6
Airbnb,2020-10,4.8,12.8,10.4,13.2,9.2,12.5,13.8,65.3,14.6,9.3,12.2,20.7,10.5,8.8,10.1,12.0
Airbnb,2020-11,6.1,12.1,9.8,12.0,8.7,12.8,12.2,66.5,12.8,8.3,9.8,18.3,9.1,6.8,11.8,11.2
Airbnb,2020-12,4.6,10.8,8.1,10.7,9.5,11.3,10.4,67.0,15.6,9.3,11.0,18.9,8.5,6.2,11.8,10.1
