Brand,Date,Buzz,Impression,Quality,Value,Reputation,Satisfaction,Recommend,Awareness,Attention,Ad Awareness,WOM Exposure,Consideration,Purchase Intent,Current Customer ,Former Customer,BrandIndex
Airbnb,2019-07-01,7.1,4.1,4.1,8.2,7.2,8.7,5.6,56.4,16.7,7.2,14.7,16.3,8.2,7.2,5.5,6.3
Airbnb,2019-07-08,0.8,7.7,5.6,9.9,4.7,5.7,7.4,55.6,12.3,8.3,10.1,15.5,5.6,5.6,6.5,6.8
Airbnb,2019-07-15,3.7,7.5,6.6,10.4,9.2,7.8,8.2,53.1,12.6,8.1,10.7,13.6,6.1,6.3,5.3,8.3
Airbnb,2019-07-22,3.3,7.5,9.2,11.0,9.5,10.2,10.2,62.0,15.5,7.4,9.4,18.7,9.0,6.6,8.1,9.6
Airbnb,2019-07-29,8.1,15.4,13.9,15.6,11.3,11.9,14.7,61.8,16.6,11.3,15.2,19.9,8.9,11.2,4.3,13.8
Airbnb,2019-08-05,2.2,7.9,5.7,9.2,5.3,7.0,6.8,58.8,12.8,8.4,10.4,16.3,5.4,4.4,6.0,7.0
Airbnb,2019-08-12,3.5,11.5,9.6,16.0,11.9,10.4,14.3,64.5,16.4,9.5,14.2,20.6,9.6,8.6,7.3,12.3
Airbnb,2019-08-19,2.3,10.8,7.8,11.6,8.1,10.4,8.1,60.3,13.2,9.5,11.3,17.3,9.6,9.6,6.4,9.5
Airbnb,2019-08-26,5.5,11.5,7.9,12.1,5.9,10.0,11.1,63.1,12.1,8.3,12.6,18.9,9.7,11.9,4.6,9.8
Airbnb,2019-09-02,4.5,11.6,7.8,14.6,8.8,13.1,10.9,64.8,14.6,11.7,13.9,21.7,10.8,10.5,8.2,11.1
Airbnb,2019-09-09,3.5,9.2,3.9,10.3,5.5,8.5,8.1,61.8,16.6,10.6,10.3,15.7,6.7,7.4,5.5,7.6
Airbnb,2019-09-16,5.6,12.9,9.5,11.6,13.6,13.3,12.8,60.4,16.6,10.8,14.2,19.1,8.4,10.4,7.5,12.3
Airbnb,2019-09-23,4.4,7.4,6.9,10.9,5.4,8.7,5.7,59.2,13.9,9.0,10.6,15.2,7.9,6.6,7.5,7.5
Airbnb,2019-09-30,2.0,5.5,1.4,7.5,2.2,9.6,7.6,58.7,13.3,10.0,10.9,15.6,7.0,8.7,6.7,5.6
Airbnb,2019-10-07,7.0,7.7,7.4,13.4,8.1,9.6,9.9,60.3,12.8,9.8,11.0,17.9,8.3,9.3,5.1,9.4
Airbnb,2019-10-14,1.1,5.9,6.4,9.1,7.1,9.0,9.6,61.1,13.3,7.7,9.9,14.2,5.7,6.9,6.1,7.9
Airbnb,2019-10-21,6.2,9.3,6.4,10.3,5.9,10.4,8.6,61.5,15.9,11.8,12.1,17.9,7.1,9.4,7.2,8.5
Airbnb,2019-10-28,3.1,9.2,8.4,11.3,5.9,12.1,9.2,56.8,14.1,7.8,11.4,18.6,10.6,9.7,7.9,9.3
Airbnb,2019-11-04,-1.6,8.7,5.5,11.4,7.9,8.0,9.7,63.3,18.3,11.5,14.1,19.0,6.2,8.4,5.9,8.5
Airbnb,2019-11-11,1.7,6.3,4.4,12.3,6.1,12.2,6.9,63.9,18.1,10.5,12.8,16.7,7.9,10.7,6.3,8.0
Airbnb,2019-11-18,5.5,11.7,7.9,10.7,7.5,10.9,10.3,64.6,20.0,11.0,13.2,18.0,8.7,9.4,6.3,9.8
Airbnb,2019-11-25,3.6,11.3,12.6,13.6,11.0,13.7,13.1,66.8,18.1,11.5,14.8,20.4,9.7,10.1,8.8,12.6
Airbnb,2019-12-02,4.4,8.6,6.5,10.9,9.7,11.4,13.2,63.1,16.2,8.2,10.8,16.9,7.9,7.8,8.6,10.0
Airbnb,2019-12-09,1.4,11.4,7.9,11.9,9.5,11.3,13.7,64.7,17.0,9.7,12.4,19.3,7.2,9.9,9.0,11.0
Airbnb,2019-12-16,5.8,14.9,7.0,13.5,9.0,13.3,12.0,64.1,17.1,7.6,12.3,22.8,10.8,8.8,9.3,11.6
Airbnb,2019-12-23,2.6,5.9,3.8,8.4,6.2,10.9,8.4,59.4,13.6,7.5,9.4,15.9,10.0,7.6,6.5,7.3
Airbnb,2019-12-30,3.1,9.5,6.8,8.1,9.8,10.1,9.7,64.9,14.2,10.0,10.9,19.2,8.3,8.6,6.5,9.0
Airbnb,2020-01-06,2.6,10.7,6.7,9.9,9.0,11.8,9.2,62.3,17.0,10.9,14.9,18.2,9.1,9.2,7.6,9.5
Airbnb,2020-01-13,0.9,4.9,4.5,9.3,4.1,10.0,8.3,60.2,12.5,6.4,10.3,16.8,6.3,6.7,8.2,6.8
Airbnb,2020-01-20,5.0,12.1,2.7,9.6,4.7,11.7,10.0,62.3,14.0,8.5,10.8,22.1,10.9,12.3,6.0,8.5
Airbnb,2020-01-27,-0.4,10.1,6.6,9.7,7.6,11.7,11.4,63.3,13.5,9.5,9.2,18.4,6.9,7.1,6.9,9.5
Airbnb,2020-02-03,4.5,10.4,6.1,12.4,12.2,13.4,12.0,64.2,16.0,12.5,12.9,19.3,9.0,9.4,9.7,11.1
Airbnb,2020-02-10,2.9,8.1,9.6,11.3,8.0,9.9,11.6,63.1,12.2,7.0,11.2,17.0,9.0,7.0,6.5,9.7
Airbnb,2020-02-17,4.1,13.0,6.1,10.1,6.3,12.0,8.6,65.8,14.9,12.0,13.5,19.7,8.2,8.9,8.8,9.3
Airbnb,2020-02-24,0.9,6.3,6.5,9.8,5.8,10.8,7.9,64.5,16.3,8.7,10.4,18.5,8.4,7.7,9.3,7.9
Airbnb,2020-03-02,4.2,5.4,5.2,8.8,5.2,10.1,9.5,61.4,14.9,8.3,13.3,15.0,7.4,9.7,6.6,7.4
Airbnb,2020-03-09,2.0,4.8,5.9,7.4,3.8,8.8,4.7,58.3,12.7,6.6,10.3,15.0,5.2,8.0,5.9,5.9
Airbnb,2020-03-16,3.1,12.1,8.1,12.6,8.3,11.5,11.0,65.6,12.8,10.1,10.9,20.7,8.6,8.9,9.0,10.6
Airbnb,2020-03-23,1.3,9.2,9.0,11.8,9.5,11.4,10.7,63.5,13.2,7.0,11.4,18.6,9.4,8.2,9.0,10.3
Airbnb,2020-03-30,-0.6,4.6,8.4,10.6,6.2,11.7,5.2,62.5,10.9,6.0,8.6,16.8,7.8,7.3,9.7,7.8
Airbnb,2020-04-06,-3.0,1.3,4.2,7.9,7.1,9.3,6.5,64.7,11.9,5.0,7.8,15.9,7.6,6.0,8.3,6.1
Airbnb,2020-04-13,-1.4,10.6,7.0,9.8,10.0,11.3,9.5,66.7,13.5,7.2,8.1,20.5,8.3,9.6,8.8,9.7
Airbnb,2020-04-20,2.4,10.1,9.8,14.5,9.8,11.7,10.4,65.2,13.3,9.2,9.2,18.8,9.7,9.0,6.3,11.1
Airbnb,2020-04-27,1.8,7.6,8.9,11.7,6.8,11.2,9.2,61.6,11.9,5.2,8.1,17.3,10.0,9.1,8.1,9.3
Airbnb,2020-05-04,0.8,10.1,8.8,13.8,10.0,12.7,14.8,68.3,14.1,7.8,11.9,21.5,9.4,9.3,10.6,11.7
